Timestamp,Marker_ID,X_meters,Y_meters,Z_meters
16:55:14.339,1,-0.1888,-0.1168,2.8611
16:55:14.775,1,-0.1888,-0.1168,2.8611
16:55:14.805,1,-0.1888,-0.1168,2.8611
16:55:14.843,1,-0.1888,-0.1168,2.8611
16:55:14.871,1,-0.1888,-0.1168,2.8611
16:55:14.903,1,-0.1888,-0.1168,2.8611
16:55:14.937,1,-0.1888,-0.1168,2.8611
16:55:14.974,1,-0.1888,-0.1168,2.8611
16:55:15.005,1,-0.1888,-0.1168,2.8611
16:55:15.037,1,-0.1888,-0.1168,2.8611
16:55:15.072,1,-0.1888,-0.1168,2.8611
16:55:15.104,1,-0.1888,-0.1168,2.8611
16:55:15.138,1,-0.1888,-0.1168,2.8611
16:55:15.170,1,-0.1888,-0.1168,2.8611
16:55:15.240,1,-0.1888,-0.1168,2.8611
16:55:15.276,1,-0.1888,-0.1168,2.8611
16:55:15.305,1,-0.1888,-0.1168,2.8611
16:55:15.342,1,-0.1888,-0.1168,2.8611
16:55:15.372,1,-0.1888,-0.1168,2.8611
16:55:15.440,1,-0.1888,-0.1168,2.8611
16:55:15.475,1,-0.1888,-0.1168,2.8611
16:55:15.504,1,-0.1888,-0.1168,2.8611
16:55:15.538,1,-0.1888,-0.1168,2.8611
16:55:15.572,1,-0.1888,-0.1168,2.8611
16:55:15.604,1,-0.1888,-0.1168,2.8611
16:55:15.636,1,-0.1888,-0.1168,2.8611
16:55:15.671,1,-0.1888,-0.1168,2.8611
16:55:15.739,1,-0.1888,-0.1168,2.8611
16:55:15.771,1,-0.1888,-0.1168,2.8611
16:55:15.808,1,-0.1888,-0.1168,2.8611
16:55:15.837,1,-0.1888,-0.1168,2.8611
16:55:15.871,1,-0.1888,-0.1168,2.8611
16:55:15.905,1,-0.1888,-0.1168,2.8611
16:55:15.938,1,-0.1888,-0.1168,2.8611
16:55:15.972,1,-0.1888,-0.1168,2.8611
16:55:16.009,1,-0.1888,-0.1168,2.8611
16:55:16.041,1,-0.1888,-0.1168,2.8611
16:55:16.072,1,-0.1888,-0.1168,2.8611
16:55:16.104,1,-0.1888,-0.1168,2.8611
16:55:16.138,1,-0.1888,-0.1168,2.8611
16:55:16.172,1,-0.1888,-0.1168,2.8611
16:55:16.209,1,-0.1888,-0.1168,2.8611
16:55:16.238,1,-0.1888,-0.1168,2.8611
16:55:16.275,1,-0.1888,-0.1168,2.8611
16:55:16.304,1,-0.1888,-0.1168,2.8611
16:55:16.342,1,-0.1888,-0.1168,2.8611
16:55:16.375,1,-0.1888,-0.1168,2.8611
16:55:16.405,1,-0.1888,-0.1168,2.8611
16:55:16.442,1,-0.1888,-0.1168,2.8611
16:55:16.472,1,-0.1888,-0.1168,2.8611
16:55:16.541,1,-0.1888,-0.1168,2.8611
16:55:16.577,1,-0.1888,-0.1168,2.8611
16:55:16.674,1,-0.1888,-0.1168,2.8611
16:55:16.741,1,-0.1888,-0.1168,2.8611
16:55:16.808,1,-0.1888,-0.1168,2.8611
16:55:16.839,1,-0.1888,-0.1168,2.8611
16:55:16.871,1,-0.1888,-0.1168,2.8611
16:55:16.905,1,-0.1888,-0.1168,2.8611
16:55:16.940,1,-0.1888,-0.1168,2.8611
16:55:17.012,1,-0.1888,-0.1168,2.8611
16:55:17.039,1,-0.1888,-0.1168,2.8611
16:55:17.077,1,-0.1888,-0.1168,2.8611
16:55:17.144,1,-0.1888,-0.1168,2.8611
16:55:17.173,1,-0.1888,-0.1168,2.8611
16:55:17.209,1,-0.1888,-0.1168,2.8611
16:55:17.345,1,-0.1888,-0.1168,2.8611
16:55:17.377,1,-0.1888,-0.1168,2.8611
16:55:17.405,1,-0.1888,-0.1168,2.8611
16:55:17.444,1,-0.1888,-0.1168,2.8611
16:55:17.473,1,-0.1888,-0.1168,2.8611
16:55:17.509,1,-0.1888,-0.1168,2.8611
16:55:17.543,1,-0.1888,-0.1168,2.8611
16:55:17.573,1,-0.1888,-0.1168,2.8611
